Term,GE2016,SavillsU,Relativity,SavillsE
43.25,64.9,65.1,65,73.4
43.5,65.11,65.3,65.21,73.6
43.75,65.33,65.6,65.46,73.8
44,65.55,65.8,65.67,73.9
44.25,65.75,66,65.88,74.1
44.5,65.96,66.2,66.08,74.3
44.75,66.16,66.5,66.33,74.5
45,66.37,66.7,66.54,74.7
45.25,66.58,66.9,66.74,74.8
45.5,66.78,67.1,66.94,75
45.75,66.99,67.3,67.14,75.2
46,67.19,67.5,67.35,75.4
46.25,67.4,67.8,67.6,75.5
46.5,67.61,68,67.81,75.7
46.75,67.82,68.2,68.01,75.9
47,68.03,68.4,68.21,76
47.25,68.24,68.6,68.42,76.2
47.5,68.44,68.8,68.62,76.4
47.75,68.65,69,68.83,76.5
48,68.86,69.2,69.03,76.7
48.25,69.06,69.4,69.23,76.9
48.5,69.27,69.6,69.43,77
48.75,69.48,69.9,69.69,77.2
49,69.68,70.1,69.89,77.4
49.25,69.88,70.3,70.09,77.5
49.5,70.09,70.5,70.29,77.7
49.75,70.29,70.7,70.49,77.8
50,70.49,70.9,70.7,78
50.25,70.7,71.1,70.9,78.1
50.5,70.9,71.3,71.1,78.3
50.75,71.1,71.5,71.3,78.4
51,71.31,71.7,71.5,78.6
51.25,71.51,71.9,71.7,78.7
51.5,71.71,72.1,71.9,78.9
51.75,71.91,72.3,72.1,79
52,72.11,72.5,72.3,79.2
52.25,72.3,72.7,72.5,79.3
52.5,72.5,72.8,72.65,79.5
52.75,72.7,73,72.85,79.6
53,72.9,73.2,73.05,79.8
53.25,73.09,73.4,73.25,79.9
53.5,73.29,73.6,73.44,80
53.75,73.48,73.8,73.64,80.2
54,73.68,74,73.84,80.3
54.25,73.88,74.2,74.04,80.5
54.5,74.08,74.4,74.24,80.6
54.75,74.27,74.5,74.39,80.7
55,74.47,74.7,74.59,80.9
55.25,74.67,74.9,74.78,81
55.5,74.87,75.1,74.98,81.1
55.75,75.07,75.3,75.18,81.3
56,75.26,75.5,75.38,81.4
56.25,75.45,75.7,75.58,81.5
56.5,75.64,75.8,75.72,81.6
56.75,75.83,76,75.91,81.8
57,76.02,76.2,76.11,81.9
57.25,76.2,76.4,76.3,82
57.5,76.39,76.5,76.44,82.2
57.75,76.57,76.7,76.64,82.3
58,76.76,76.9,76.83,82.4
58.25,76.94,77.1,77.02,82.5
58.5,77.13,77.2,77.16,82.6
58.75,77.31,77.4,77.35,82.8
59,77.49,77.6,77.55,82.9
59.25,77.68,77.8,77.74,83
59.5,77.86,77.9,77.88,83.1
59.75,78.04,78.1,78.07,83.2
60,78.22,78.3,78.26,83.4
60.25,78.4,78.4,78.4,83.5
60.5,78.59,78.6,78.59,83.6
60.75,78.77,78.8,78.78,83.7
61,78.95,79,78.98,83.8
61.25,79.13,79.1,79.11,83.9
61.5,79.3,79.3,79.3,84
61.75,79.48,79.4,79.44,84.2
62,79.65,79.6,79.63,84.3
62.25,79.83,79.8,79.81,84.4
62.5,80,79.9,79.95,84.5
62.75,80.17,80.1,80.14,84.6
63,80.35,80.3,80.32,84.7
63.25,80.52,80.4,80.46,84.8
63.5,80.69,80.6,80.64,84.9
63.75,80.86,80.7,80.78,85
64,81.03,80.9,80.96,85.1
64.25,81.2,81,81.1,85.2
64.5,81.37,81.2,81.28,85.3
64.75,81.53,81.4,81.47,85.4
65,81.7,81.5,81.6,85.5
65.25,81.87,81.7,81.79,85.6
65.5,82.04,81.8,81.92,85.7
65.75,82.21,82,82.11,85.8
66,82.38,82.1,82.24,85.9
66.25,82.54,82.3,82.42,86
66.5,82.71,82.4,82.55,86.1
66.75,82.87,82.6,82.73,86.2
67,83.03,82.7,82.87,86.3
67.25,83.19,82.9,83.05,86.4
67.5,83.35,83,83.17,86.5
67.75,83.51,83.2,83.35,86.6
68,83.67,83.3,83.48,86.7
68.25,83.83,83.5,83.66,86.8
68.5,83.98,83.6,83.79,86.9
